Sigma Ratio Sc_solvent Sc_all Rho Emol nbonds A11 A12 A13 A14 A15 A22 A23 A24 A25 A33 A34 A35 A44 A45 A55 B Gamma rD kB Fsrp Rsrp Press1 Press2 Comp1 Comp2 Comp3 Comp4 Comp5
7.82636 0.246542 56.0259 55.681 3.06 325.45225 13 -109.47 -190.48 0.0 0.0 0.0 -15.66 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 57.7 12.01 1.47 36.2 72.5 1.7 -1.464 -0.424 0.991 0.009 0.0 0.0 0.0 
7.3717 0.22578 54.4205 49.1761 3.37 0 0 -43.0 -107.93 -139.32 -82.56 -25.8 -84.0 -188.16 -17.64 -11.76 -111.35 -374.14 -409.77 -48.27 -209.01 -85.43 32.3 12.84 1.24 0.0 0.0 0.0 -0.873 -0.299 0.853 0.039 0.01 0.049 0.049 
7.45137 -0.166177 378.266 331.58 4 0 0 -52.78 -182.62 -26.92 -51.2 -134.59 -61.14 -279.41 -235.39 -241.5 -90.01 -306.93 -96.31 -12.3 -34.44 -102.4 56.24 14.13 1.01 0.0 0.0 0.0 -1.401 -0.26 0.854 0.045 0.035 0.039 0.027 
0.394852 0.330351 8194.46 7718.18 4.57 455.23668 20 -28.71 -63.16 -102.78 -118.86 0.0 -115.93 -39.42 -547.19 0.0 -87.88 -235.52 0.0 -99.22 0.0 0.0 34.79 14.99 1.54 31.8 64.3 1.48 -3.119 -0.615 0.917 0.041 0.032 0.01 0.0 
21.6501 0.16284 1785.13 1785.13 6.92 0 0 -103.04 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 41.75 14.54 1.26 0.0 0.0 0.0 -12.794 -1.054 1.0 0.0 0.0 0.0 0.0 
4.90843 0.0143795 2149.95 2046.07 6.94 0 0 -46.34 -76.0 -44.02 -103.34 -60.24 -70.64 -305.87 -176.6 -47.33 -23.15 -33.8 -33.8 -59.72 -81.22 -42.11 73.94 15.11 1.1 0.0 0.0 0.0 460.603 -0.273 0.907 0.022 0.03 0.015 0.026 
3.46841 -0.252444 20538.2 18458.7 7.28 0 0 -33.65 -150.42 -44.75 -54.51 -54.51 -66.64 -185.93 -304.54 -95.3 -78.16 -53.93 -282.16 -43.85 -163.56 -65.29 76.39 15.98 1.43 0.0 0.0 0.0 650.674 -0.381 0.879 0.021 0.036 0.045 0.019 
0.19843 0.346561 108869 119184 3.15 1327.3341 69 -98.15 -90.3 0.0 0.0 0.0 -50.21 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 39.34 14.43 1.51 27.3 76.8 1.53 -1.289 -0.433 0.98 0.02 0.0 0.0 0.0 
0.273859 0.424885 2618.54 2618.54 5.89 0 0 -25.69 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 76.5 13.7 1.16 0.0 0.0 0.0 275.122 0.14 1.0 0.0 0.0 0.0 0.0 
10.2535 0.0534072 371.559 370.436 3.06 168.67884 11 -62.23 -43.56 0.0 0.0 0.0 -64.33 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 70.72 15.5 1.28 21.3 31.3 1.67 -1.015 -0.328 0.992 0.008 0.0 0.0 0.0 
9.92868 0.176248 14197.2 13606.9 5.95 1973.9705 63 -71.95 -348.24 -354.71 0.0 0.0 -118.4 -530.43 0.0 0.0 -11.56 0.0 0.0 0.0 0.0 0.0 69.08 12.5 1.22 48.3 96.1 1.88 14.841 -0.502 0.95 0.039 0.011 0.0 0.0 
1.12163 0.347749 1.39048e+07 1.39048e+07 3.67 0 0 -119.65 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 26.04 14.07 1.43 0.0 0.0 0.0 -4.33 -0.587 1.0 0.0 0.0 0.0 0.0 
1.1347 0.338714 1320.23 1314.32 6.52 5002.1851 266 -14.08 -32.24 0.0 0.0 0.0 -34.03 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 40.48 14.43 1.56 26.7 67.3 1.6 246.597 1.613 0.978 0.022 0.0 0.0 0.0 
19.0138 0.103462 175.606 175.606 5.75 0 0 -74.57 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 35.57 12.73 1.11 0.0 0.0 0.0 -6.37 -0.644 1.0 0.0 0.0 0.0 0.0 
0.360624 0.334783 413.088 413.088 5.96 0 0 -13.19 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 50.26 14.8 1.16 0.0 0.0 0.0 210.569 1.932 1.0 0.0 0.0 0.0 0.0 
23.1908 0.189626 9826.16 9696.48 4.2 0 0 -96.93 -138.61 -421.65 -184.17 0.0 -58.57 -51.54 -120.65 0.0 -29.68 -117.24 0.0 -24.45 0.0 0.0 58.12 15.05 1.65 0.0 0.0 0.0 -3.996 -1.207 0.943 0.012 0.002 0.043 0.0 
27.469 0.0381497 1262.56 1262.56 5.31 0 0 -111.12 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 66.81 12.82 1.02 0.0 0.0 0.0 -8.342 -0.726 1.0 0.0 0.0 0.0 0.0 
15.5872 0.183199 236236 224435 4.93 8535.6845 244 -94.65 -461.89 -314.24 -251.77 -469.46 -54.52 -149.93 -200.63 -67.06 -75.34 -152.19 -302.11 -57.04 -262.38 -84.49 79.57 12.18 1.41 54.3 92.5 1.46 -5.51 -0.789 0.913 0.023 0.015 0.019 0.03 
0.12802 0.331958 503.236 504.555 3.98 0 0 -106.46 -455.65 -294.89 -314.06 -513.14 -33.17 -78.28 -107.8 -140.97 -14.56 -43.83 -6.12 -53.94 -62.57 -20.06 55.75 14.85 1.68 0.0 0.0 0.0 -3.901 -1.313 0.89 0.034 0.004 0.041 0.031 
11.8251 0.203575 255210 245209 5.95 0 0 -64.16 -165.53 -249.58 0.0 0.0 -57.83 -34.12 0.0 0.0 -26.4 0.0 0.0 0.0 0.0 0.0 14.03 15.06 1.12 0.0 0.0 0.0 -4.411 -0.753 0.953 0.041 0.006 0.0 0.0 
1.09522 0.142621 334.269 320.002 4.5 696.06328 36 -37.56 -114.18 -144.61 -73.62 -102.54 -25.73 -87.74 -88.51 -36.79 -44.34 -34.14 -116.61 -31.55 -41.65 -12.82 73.23 14.44 1.1 27.7 51.6 1.32 -1.818 -0.157 0.898 0.04 0.041 0.007 0.014 
2.17049 0.278554 605.254 576.71 4.79 0 0 -35.36 -19.8 -136.84 -45.26 0.0 -74.71 -97.12 -332.46 0.0 -56.37 -237.32 0.0 -35.24 0.0 0.0 44.18 14.05 1.59 0.0 0.0 0.0 -2.848 -0.437 0.922 0.016 0.044 0.018 0.0 
3.78163 0.199397 1009.15 986.176 7.56 1299.6276 80 -39.52 -161.24 -70.74 -152.94 -15.02 -37.64 -128.73 -101.63 -28.98 -12.17 -20.69 -23.37 -40.18 -82.77 -86.71 39.46 12.18 1.39 22.6 65.0 1.76 275.21 -0.457 0.936 0.007 0.038 0.007 0.012 
21.3284 0.185694 1.37794e+06 1.31764e+06 4.77 4559.8771 153 -85.97 -145.29 -262.21 0.0 0.0 -57.0 -103.74 0.0 0.0 -62.77 0.0 0.0 0.0 0.0 0.0 24.99 15.14 1.35 45.0 52.2 1.35 -3.57 -1.073 0.946 0.031 0.023 0.0 0.0 
15.4774 0.150632 587.042 550.823 7.38 0 0 -49.28 -10.84 -29.57 -153.75 -89.69 -34.96 -108.38 -24.12 -89.85 -61.05 -171.55 -58.61 -56.84 -162.56 -98.98 26.53 13.84 1.43 0.0 0.0 0.0 35.465 -0.834 0.899 0.036 0.012 0.021 0.032 
23.6859 0.121471 1036.34 1036.34 6.73 0 0 -95.08 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 56.6 13.22 1.38 0.0 0.0 0.0 53.219 -0.929 1.0 0.0 0.0 0.0 0.0 
2.73385 0.466799 1586.2 1499.23 4.64 0 0 -31.4 -108.33 -116.81 -136.28 -65.94 -12.58 -8.05 -55.6 -16.61 -49.87 -117.69 -157.09 -58.95 -106.11 -79.32 76.96 14.34 1.45 0.0 0.0 0.0 13.807 -0.216 0.877 0.049 0.026 0.005 0.043 
48.0858 0.185833 6.10716e+07 7.79588e+07 6.25 0 0 -101.37 -109.48 -103.4 -42.58 0.0 -24.07 -117.22 -33.94 0.0 -38.22 -70.71 0.0 -54.39 0.0 0.0 29.09 13.61 1.64 0.0 0.0 0.0 -8.724 -2.54 0.894 0.034 0.026 0.046 0.0 
2.27671 -0.151614 54.8592 54.6949 3.4 0 0 -29.3 -51.57 0.0 0.0 0.0 -31.97 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 30.79 14.57 1.16 0.0 0.0 0.0 -0.857 -0.125 0.987 0.013 0.0 0.0 0.0 
1.04782 0.337904 1158.56 1066 4.54 0 0 -10.87 -7.28 -10.87 -5.76 0.0 -21.38 -99.84 -63.93 0.0 -13.03 -33.36 0.0 -32.63 0.0 0.0 79.72 12.93 1.56 0.0 0.0 0.0 70.809 1.631 0.898 0.03 0.023 0.049 0.0 
0.0109141 0.34538 80.4303 80.4303 3.94 0 0 -18.06 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 28.28 12.63 1.59 0.0 0.0 0.0 4.303 0.342 1.0 0.0 0.0 0.0 0.0 
1.0528 0.459768 7545.39 7545.39 3.09 0 0 -119.8 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 68.67 12.96 1.52 0.0 0.0 0.0 -3.003 -0.283 1.0 0.0 0.0 0.0 0.0 
0.111747 0.335474 253.663 245.593 7.36 0 0 -10.79 -30.43 -15.54 0.0 0.0 -22.3 -67.79 0.0 0.0 -64.48 0.0 0.0 0.0 0.0 0.0 15.37 15.96 1.43 0.0 0.0 0.0 127.442 1.293 0.938 0.035 0.027 0.0 0.0 
0.440037 0.333048 72.4521 64.0859 5.1 3956.4024 393 -16.54 -80.55 -78.07 -72.61 -32.91 -113.68 -380.83 -129.6 -231.91 -85.47 -36.75 -391.45 -23.68 -12.08 -45.42 34.24 15.91 1.08 11.1 59.1 1.9 20.08 1.159 0.846 0.029 0.047 0.042 0.036 
